Time [Gate*Points] - Number of Pulses received	Number of pulses received - Number of Pulses received	
0	27794	
1	27572	
2	27947	
3	27185	
4	27832	
5	27276	
6	27616	
7	27682	
8	27698	
9	27690	
10	27585	
11	27584	
12	27553	
13	27805	
14	27521	
15	27832	
16	27699	
17	27620	
18	27839	
19	27574	
20	27675	
21	27711	
22	27688	
23	27639	
24	27664	
25	27362	
26	27620	
27	27652	
28	27663	
29	27878	
30	27896	
31	27583	
32	27650	
33	27495	
34	27780	
35	27574	
36	27610	
37	27576	
38	27592	
39	27719	
40	27673	
41	27775	
42	27532	
43	27783	
44	27518	
45	27196	
46	27986	
47	27738	
48	27496	
49	27812	
50	27720	
51	27658	
52	28020	
53	28129	
54	28120	
55	27802	
56	27812	
57	27890	
58	27861	
59	27890	
60	27566	
61	27800	
62	27724	
63	27618	
64	27723	
65	27681	
66	27740	
67	27619	
68	27555	
69	27714	
70	27839	
71	27848	
72	27527	
73	27621	
74	27979	
75	27757	
76	27878	
77	27911	
78	27841	
79	27667	
80	27799	
81	27778	
82	27631	
83	27631	
84	27931	
85	27811	
86	27967	
87	27773	
88	27652	
89	27894	
90	27462	
91	27769	
92	27619	
93	27836	
94	27778	
95	27848	
96	27690	
97	27763	
98	27691	
99	27751	
100	27770	
101	28022	
102	28024	
103	27929	
104	27793	
105	27965	
106	27545	
107	27977	
108	27558	
109	27983	
110	27400	
111	27786	
112	27491	
113	27530	
114	27841	
115	27554	
116	27678	
117	27721	
118	27630	
119	27496	
120	27948	
121	27482	
122	27485	
123	27639	
124	27248	
125	27742	
126	27654	
127	27476	
128	27475	
129	27660	
130	27605	
131	27767	
132	27731	
133	27757	
134	27643	
135	27577	
136	27757	
137	27901	
138	27891	
139	28053	
140	27759	
141	27925	
142	27880	
143	27596	
144	27663	
145	27781	
146	27488	
147	27643	
148	27828	
149	27733	
150	27685	
151	27550	
152	27528	
153	27940	
154	27717	
155	27560	
156	27893	
157	27562	
158	27589	
159	27984	
160	27517	
161	27726	
162	27660	
163	27808	
164	27984	
165	27740	
166	27599	
167	27706	
168	27711	
169	27409	
170	27633	
171	27691	
172	27802	
173	27559	
174	27426	
175	27723	
176	27463	
177	27689	
178	27573	
179	27640	
180	27335	
181	27585	
182	27998	
183	27472	
184	27522	
185	27640	
186	27584	
187	27348	
188	27981	
189	27711	
190	27768	
191	27720	
192	27596	
193	27691	
194	27760	
195	27858	
196	27495	
197	27723	
198	27697	
199	27777	
200	27991	
201	27631	
202	27662	
203	27473	
204	27463	
205	27750	
206	27469	
207	27678	
208	27844	
209	28015	
210	28016	
211	27757	
212	27611	
213	27819	
214	27555	
215	27601	
216	27635	
217	27884	
218	27786	
219	27491	
220	27744	
221	27905	
222	27822	
223	27731	
224	27682	
225	27474	
226	27383	
227	27796	
228	27546	
229	27767	
230	28222	
231	27700	
232	27567	
233	27662	
234	27830	
235	27764	
236	27433	
237	27672	
238	27567	
239	27725	
240	27655	
241	27841	
242	27737	
243	27886	
244	27505	
245	27338	
246	27572	
247	27399	
248	27489	
249	27812	
250	27697	
251	27702	
252	27669	
253	27422	
254	27836	
255	27665	
256	27796	
257	27663	
258	27731	
259	27421	
260	27693	
261	27701	
262	27511	
263	27693	
264	27513	
265	27698	
266	27906	
267	27583	
268	27780	
269	27522	
270	27539	
271	27307	
272	27671	
273	27629	
274	27954	
275	27921	
276	27515	
277	27628	
278	27746	
279	27561	
280	27744	
281	27622	
282	27675	
283	27324	
284	27354	
285	27651	
286	27592	
287	27699	
288	27695	
289	27682	
290	27619	
291	27827	
292	27544	
293	27835	
294	27658	
295	27656	
296	27613	
297	27718	
298	27417	
