Time [Gate*Points] - Number of Pulses received	Number of pulses received - Number of Pulses received	
3	28403	
4	28427	
5	28349	
6	28188	
7	28594	
8	28450	
9	28640	
10	28571	
11	28599	
12	28527	
13	28261	
14	28223	
15	28121	
16	28511	
17	28383	
18	28513	
19	28372	
20	28482	
21	28464	
22	28374	
23	28281	
24	28361	
25	28437	
26	28555	
27	28677	
28	28244	
29	28453	
30	28387	
31	28267	
32	28331	
33	28545	
34	28435	
35	28527	
36	28331	
37	28362	
38	28459	
39	28416	
40	28650	
41	28378	
42	28434	
43	28391	
44	28228	
45	28424	
46	28288	
47	28442	
48	28341	
49	28553	
50	28619	
51	28092	
52	28195	
53	28391	
54	28382	
55	28754	
56	28173	
57	28551	
58	28467	
59	28661	
60	28441	
61	28345	
62	27983	
63	28473	
64	28666	
65	28230	
66	28097	
67	28281	
68	28289	
69	28148	
70	28328	
71	28572	
72	28667	
73	28339	
74	28435	
75	28437	
76	28070	
77	28416	
78	28306	
79	28396	
80	28352	
81	28359	
82	28600	
83	28460	
84	28303	
85	28529	
86	28544	
87	28336	
88	28276	
89	28635	
90	28683	
91	28117	
92	28492	
93	28288	
94	28509	
95	28618	
96	28518	
97	28546	
98	28731	
99	28218	
100	28681	
101	28496	
102	28397	
103	28503	
104	28597	
105	28636	
106	28408	
107	28413	
108	28319	
109	28251	
110	28610	
111	28428	
112	28244	
113	28474	
114	28420	
115	28228	
116	28377	
117	28248	
118	28319	
119	28328	
120	28379	
121	28362	
122	28373	
123	28608	
124	28032	
125	28299	
126	28456	
127	28146	
128	28310	
129	28511	
130	28314	
131	28569	
132	28571	
133	28465	
134	28327	
135	28495	
136	28612	
137	28105	
138	28498	
139	28498	
140	28442	
141	28476	
142	28216	
143	28295	
144	28701	
145	28432	
146	28521	
147	28634	
148	28085	
149	28373	
150	28522	
151	28298	
152	28172	
153	28398	
154	28368	
155	28509	
156	28593	
157	28348	
158	28284	
159	28458	
160	28286	
161	28585	
162	28470	
163	28425	
164	28355	
165	28631	
166	28902	
167	28327	
168	28379	
169	28563	
170	28291	
171	28312	
172	28559	
173	28419	
174	28630	
175	28156	
176	28439	
177	28547	
178	28348	
179	28501	
180	28408	
181	28647	
182	28418	
183	28220	
184	28565	
185	28437	
186	28642	
187	28451	
188	28570	
189	28542	
190	28148	
191	28750	
192	28122	
193	28321	
194	28267	
195	28477	
196	28479	
197	28382	
198	28406	
199	28460	
200	28741	
201	28213	
202	28432	
203	28321	
204	28683	
205	28136	
206	28504	
207	28465	
208	28724	
209	28319	
210	28626	
211	28464	
212	28236	
213	28544	
214	28288	
215	28662	
216	28424	
217	28307	
218	28452	
219	28278	
220	28459	
221	28336	
222	28225	
223	28958	
224	28637	
225	28377	
226	28315	
227	28573	
228	28364	
229	28491	
230	28397	
231	28827	
232	28854	
233	28269	
234	28441	
235	28556	
236	28337	
237	28514	
238	28406	
239	28487	
240	28556	
241	28595	
242	28820	
243	28409	
244	28336	
245	28775	
246	28314	
247	28435	
248	28437	
249	28680	
250	28428	
251	28161	
252	28299	
253	28551	
254	27893	
255	28407	
256	28525	
257	28490	
258	28475	
259	28539	
260	28499	
261	28659	
262	28426	
263	28640	
264	28222	
265	28585	
266	28549	
267	28201	
268	28632	
269	28060	
270	28482	
271	28475	
272	28470	
273	28397	
274	28641	
275	28455	
276	28822	
277	28391	
278	28425	
279	28538	
280	28451	
281	28165	
282	28485	
283	28763	
284	28325	
285	28437	
286	28391	
287	28533	
288	28360	
289	28269	
290	28200	
291	28617	
292	28643	
293	28436	
294	28717	
295	28396	
296	28650	
297	28545	
298	28320	
299	28643	
300	28588	
301	28638	
302	28644	
303	28514	
304	28548	
