Time [Gate*Points] - Number of Pulses received	Number of pulses received - Number of Pulses received	
2	160	
3	158	
4	184	
5	172	
6	200	
7	172	
8	204	
9	174	
10	172	
11	191	
12	182	
13	159	
14	165	
15	177	
16	164	
17	177	
18	155	
19	175	
20	185	
21	181	
22	185	
23	172	
24	189	
25	168	
26	174	
27	181	
28	178	
29	169	
30	197	
31	168	
32	165	
33	174	
34	165	
35	177	
36	182	
37	172	
38	182	
39	161	
40	189	
41	185	
42	171	
43	168	
44	203	
45	177	
46	181	
47	185	
48	194	
49	186	
50	183	
51	171	
52	156	
53	202	
54	194	
55	170	
56	185	
57	193	
58	183	
59	181	
60	181	
61	162	
62	158	
63	206	
64	169	
65	174	
66	187	
67	194	
68	217	
69	164	
70	181	
71	189	
72	172	
73	185	
74	172	
75	177	
76	170	
77	183	
78	185	
79	195	
80	190	
81	191	
82	194	
83	192	
84	179	
85	189	
86	180	
87	157	
88	169	
89	189	
90	182	
91	179	
92	184	
93	184	
94	177	
95	189	
96	188	
97	182	
98	171	
99	169	
100	163	
101	191	
102	174	
103	183	
104	187	
105	169	
106	178	
107	184	
108	184	
109	183	
110	182	
111	197	
112	171	
113	195	
114	191	
115	184	
116	186	
117	170	
118	178	
119	179	
120	195	
121	173	
122	183	
123	185	
124	187	
125	183	
126	159	
127	184	
128	163	
129	171	
130	165	
131	194	
132	175	
133	164	
134	203	
135	162	
136	184	
137	165	
138	191	
139	184	
140	172	
141	155	
142	176	
143	160	
144	191	
145	162	
146	172	
147	181	
148	176	
149	172	
150	181	
151	192	
152	186	
153	148	
154	177	
155	165	
156	187	
157	208	
158	161	
159	165	
160	159	
161	178	
162	183	
163	176	
164	181	
165	174	
166	164	
167	162	
168	166	
169	211	
170	186	
171	196	
172	175	
173	196	
174	146	
175	178	
176	159	
177	173	
178	174	
179	168	
180	207	
181	158	
182	185	
183	192	
184	172	
185	167	
186	155	
187	173	
188	175	
189	186	
190	173	
191	163	
192	193	
193	201	
194	170	
195	193	
196	156	
197	182	
198	200	
199	185	
200	204	
201	222	
202	197	
203	178	
204	180	
205	159	
206	182	
207	175	
208	207	
209	159	
210	161	
211	169	
212	166	
213	172	
214	188	
215	177	
216	184	
217	181	
218	184	
219	197	
220	168	
221	186	
222	184	
223	167	
224	199	
225	189	
226	192	
227	182	
228	186	
229	160	
230	169	
231	167	
232	194	
233	163	
234	185	
235	157	
236	188	
237	164	
238	168	
239	164	
240	198	
241	190	
242	182	
243	177	
244	193	
245	175	
246	186	
247	183	
248	191	
249	170	
250	180	
251	176	
252	170	
253	179	
254	166	
255	171	
256	183	
257	177	
258	166	
259	170	
260	209	
261	188	
262	164	
263	172	
264	180	
265	183	
266	198	
267	159	
268	166	
269	190	
270	191	
271	208	
272	200	
273	173	
274	200	
275	195	
276	188	
277	170	
278	191	
279	200	
280	178	
281	176	
282	192	
283	193	
284	200	
285	164	
286	182	
287	202	
288	206	
289	181	
290	180	
291	194	
292	183	
293	184	
294	186	
295	175	
296	189	
297	179	
298	173	
299	186	
300	174	
301	160	
302	192	
303	196	
