Time [Gate*Points] - Number of Pulses received	Number of pulses received - Number of Pulses received	
1	1009	
2	1059	
3	970	
4	1004	
5	1017	
6	1029	
7	1070	
8	1027	
9	1015	
10	1051	
11	1023	
12	1043	
13	1021	
14	1025	
15	1008	
16	987	
17	947	
18	998	
19	1089	
20	1041	
21	1026	
22	1055	
23	1032	
24	1066	
25	967	
26	1051	
27	1024	
28	1058	
29	1064	
30	1059	
31	1060	
32	998	
33	1028	
34	1034	
35	1064	
36	1070	
37	1045	
38	1009	
39	969	
40	1007	
41	982	
42	1005	
43	1027	
44	1036	
45	1002	
46	976	
47	1019	
48	999	
49	1054	
50	979	
51	973	
52	1040	
53	1065	
54	1039	
55	1052	
56	1042	
57	986	
58	1019	
59	1069	
60	1030	
61	1042	
62	1078	
63	1047	
64	1070	
65	978	
66	1056	
67	1091	
68	982	
69	1032	
70	1047	
71	1047	
72	987	
73	1028	
74	1026	
75	1085	
76	1003	
77	1043	
78	1070	
79	1102	
80	1020	
81	958	
82	1029	
83	1048	
84	1018	
85	1008	
86	1043	
87	1029	
88	968	
89	1058	
90	956	
91	1000	
92	963	
93	955	
94	1050	
95	996	
96	1002	
97	1024	
98	1095	
99	1040	
100	1057	
101	1075	
102	1015	
103	1034	
104	1001	
105	1049	
106	993	
107	1061	
108	1040	
109	994	
110	932	
111	1035	
112	1048	
113	1081	
114	1004	
115	1035	
116	1049	
117	994	
118	1110	
119	1004	
120	998	
121	953	
122	1014	
123	1082	
124	982	
125	997	
126	981	
127	1057	
128	1074	
129	1037	
130	1053	
131	995	
132	1021	
133	1013	
134	1065	
135	956	
136	964	
137	1008	
138	1043	
139	1020	
140	1013	
141	1123	
142	1014	
143	1007	
144	1047	
145	978	
146	1039	
147	1014	
148	972	
149	1074	
150	946	
151	1029	
152	1015	
153	1073	
154	1025	
155	1030	
156	1082	
157	1023	
158	1031	
159	1032	
160	1046	
161	1046	
162	1024	
163	962	
164	1066	
165	1030	
166	1035	
167	1027	
168	1041	
169	1036	
170	1035	
171	1003	
172	1026	
173	1017	
174	1029	
175	1001	
176	1033	
177	1000	
178	1031	
179	1042	
180	1006	
181	1031	
182	1035	
183	1048	
184	1038	
185	1029	
186	963	
187	1002	
188	998	
189	1008	
190	1004	
191	1023	
192	1024	
193	986	
194	1064	
195	1000	
196	999	
197	1044	
198	1002	
199	1041	
200	1094	
201	1066	
202	986	
203	1062	
204	1028	
205	1022	
206	1101	
207	1050	
208	1011	
209	1071	
210	1074	
211	1008	
212	1000	
213	1003	
214	1057	
215	1014	
216	1028	
217	1012	
218	1018	
219	1041	
220	1040	
221	1043	
222	1033	
223	1028	
224	1029	
225	1008	
226	1046	
227	991	
228	990	
229	1006	
230	992	
231	1025	
232	1064	
233	1022	
234	1056	
235	1014	
236	1042	
237	1081	
238	1015	
239	1022	
240	1024	
241	984	
242	1060	
243	1027	
244	1035	
245	981	
246	1077	
247	991	
248	1080	
249	1008	
250	984	
251	1017	
252	999	
253	973	
254	1099	
255	1031	
256	1087	
257	1074	
258	1015	
259	1030	
260	1007	
261	1005	
262	1081	
263	1040	
264	1025	
265	1088	
266	1021	
267	1026	
268	1037	
269	1038	
270	1028	
271	1038	
272	1017	
273	1033	
274	1017	
275	959	
276	1075	
277	1017	
278	1042	
279	1034	
280	1029	
281	1028	
282	1040	
283	1054	
284	1066	
285	997	
286	1007	
287	987	
288	1015	
289	980	
290	1062	
291	1011	
292	1027	
293	1023	
294	1025	
295	1069	
296	1033	
297	958	
298	1074	
299	1114	
300	1059	
301	1016	
302	1024	
