ADC Channel - Charge distribution	ADC Counts - Charge distribution	
-800	0	
-400	75	
0	2778	
400	80	
800	3	
1200	2	
1600	3	
2000	8	
2400	3	
2800	6	
3200	9	
3600	1	
4000	3	
4400	3	
4800	3	
5200	6	
5600	5	
6000	1	
6400	2	
6800	2	
7200	3	
7600	3	
8000	2	
8400	7	
8800	5	
9200	2	
9600	4	
10000	4	
10400	2	
10800	1	
11200	3	
11600	3	
12000	4	
12400	3	
12800	5	
13200	3	
13600	2	
14000	6	
14400	5	
14800	7	
15200	8	
15600	9	
16000	11	
16400	17	
16800	10	
17200	18	
17600	21	
18000	20	
18400	16	
18800	25	
19200	22	
19600	16	
20000	15	
20400	22	
20800	11	
21200	26	
21600	27	
22000	19	
22400	23	
22800	13	
23200	18	
23600	15	
24000	15	
24400	9	
24800	12	
25200	7	
25600	10	
26000	10	
26400	11	
26800	8	
27200	9	
27600	9	
28000	8	
28400	7	
28800	8	
29200	6	
29600	4	
30000	6	
30400	9	
30800	7	
31200	8	
31600	9	
32000	2	
32400	3	
32800	3	
33200	5	
33600	6	
34000	9	
34400	1	
34800	7	
35200	0	
35600	6	
36000	1	
36400	4	
36800	2	
37200	7	
37600	3	
38000	7	
38400	7	
38800	5	
39200	2	
39600	1	
40000	2	
40400	4	
40800	4	
41200	3	
41600	2	
42000	3	
42400	0	
42800	3	
43200	1	
43600	1	
44000	2	
44400	4	
44800	3	
45200	3	
45600	1	
46000	4	
46400	2	
46800	0	
47200	1	
47600	1	
48000	0	
48400	0	
48800	0	
49200	0	
49600	1	
50000	1	
