ADC Channel - Charge distribution	ADC Counts - Charge distribution	
525	2	
575	1	
625	4	
675	11	
725	15	
775	24	
825	30	
875	71	
925	112	
975	184	
1025	239	
1075	344	
1125	514	
1175	771	
1225	1106	
1275	1569	
1325	2059	
1375	2398	
1425	2696	
1475	2801	
1525	3288	
1575	3129	
1625	3462	
1675	3396	
1725	3550	
1775	3637	
1825	3728	
1875	3752	
1925	3854	
1975	3879	
2025	3774	
2075	3945	
2125	3947	
2175	3987	
2225	3940	
2275	4200	
2325	4098	
2375	4130	
2425	4230	
2475	4235	
2525	4197	
2575	4204	
2625	4336	
2675	4331	
2725	4303	
2775	4347	
2825	4396	
2875	4232	
2925	4344	
2975	4413	
3025	4528	
3075	4517	
3125	4414	
3175	4577	
3225	4653	
3275	4610	
3325	4565	
3375	4623	
3425	4647	
3475	4584	
3525	4624	
3575	4664	
3625	4598	
3675	4502	
3725	4747	
3775	4693	
3825	4744	
3875	4579	
3925	4738	
3975	4632	
4025	4674	
4075	4585	
4125	4797	
4175	4549	
4225	4627	
4275	4639	
4325	4575	
4375	4717	
4425	4666	
4475	4663	
4525	4660	
4575	4639	
4625	4706	
4675	4700	
4725	4653	
4775	4600	
4825	4501	
4875	4652	
4925	4579	
4975	4619	
5025	4567	
5075	4616	
5125	4522	
5175	4580	
5225	4608	
5275	4560	
5325	4426	
5375	4490	
5425	4561	
5475	4361	
5525	4527	
5575	4523	
5625	4395	
5675	4458	
5725	4411	
5775	4518	
5825	4220	
5875	4494	
5925	4371	
5975	4288	
6025	4401	
6075	4375	
6125	4238	
6175	4086	
6225	4294	
6275	4220	
6325	4203	
6375	4246	
6425	4210	
6475	4296	
6525	4299	
6575	4227	
6625	4256	
6675	4217	
6725	4146	
6775	4162	
6825	4163	
6875	4219	
6925	4170	
6975	4163	
7025	4136	
7075	4126	
7125	4065	
7175	4125	
7225	4077	
7275	4035	
7325	3999	
7375	4086	
7425	4075	
7475	3932	
7525	4072	
7575	4085	
7625	3989	
7675	4004	
7725	4010	
7775	3985	
7825	3923	
7875	4072	
7925	3875	
7975	3816	
8025	3998	
8075	4052	
8125	3952	
8175	3904	
8225	3924	
8275	3896	
8325	3981	
8375	3899	
8425	3916	
8475	3944	
8525	3971	
8575	3823	
8625	3911	
8675	3958	
8725	3969	
8775	4040	
8825	3818	
8875	3893	
8925	3917	
8975	3869	
9025	3870	
9075	3902	
9125	3930	
9175	3972	
9225	3774	
9275	3937	
9325	3841	
9375	3895	
9425	3850	
9475	3843	
9525	3854	
9575	3814	
9625	3891	
9675	3859	
9725	4004	
9775	3766	
9825	3814	
9875	3805	
9925	3777	
9975	3910	
10025	3853	
10075	3745	
10125	3840	
10175	3823	
10225	3931	
10275	3809	
10325	3760	
10375	3854	
10425	3718	
10475	3859	
10525	3849	
10575	3711	
10625	3811	
10675	3781	
10725	3863	
10775	3812	
10825	3724	
10875	3816	
10925	3838	
10975	3891	
11025	3735	
11075	3714	
11125	3849	
11175	3804	
11225	3760	
11275	3868	
11325	3757	
11375	3772	
11425	3674	
11475	3663	
11525	3804	
11575	3725	
11625	3712	
11675	3845	
11725	3778	
11775	3788	
11825	3838	
11875	3897	
11925	3695	
11975	3759	
12025	3657	
12075	3794	
12125	3772	
12175	3608	
12225	3716	
12275	3799	
12325	3668	
12375	3672	
12425	3622	
12475	3675	
12525	3589	
12575	3695	
12625	3732	
12675	3648	
12725	3716	
12775	3765	
12825	3635	
12875	3745	
12925	3659	
12975	3689	
13025	3681	
13075	3712	
13125	3665	
13175	3572	
13225	3723	
13275	3669	
13325	3659	
13375	3617	
13425	3637	
13475	3680	
13525	3652	
13575	3636	
13625	3785	
13675	3669	
13725	3546	
13775	3624	
13825	3636	
13875	3563	
13925	3597	
13975	3587	
14025	3550	
14075	3594	
14125	3610	
14175	3538	
14225	3591	
14275	3555	
14325	3570	
14375	3654	
14425	3488	
14475	3547	
14525	3558	
14575	3578	
14625	3645	
14675	3591	
14725	3473	
14775	3523	
14825	3571	
14875	3527	
14925	3484	
14975	3534	
15025	3561	
15075	3483	
15125	3450	
15175	3527	
15225	3521	
15275	3540	
15325	3435	
15375	3377	
15425	3338	
15475	3467	
15525	3473	
15575	3482	
15625	3431	
15675	3424	
15725	3388	
15775	3415	
15825	3409	
15875	3348	
15925	3428	
15975	3359	
