ADC Channel - Charge distribution	ADC Counts - Charge distribution	
525	0	
575	1	
625	1	
675	0	
725	1	
775	4	
825	5	
875	13	
925	20	
975	26	
1025	43	
1075	65	
1125	108	
1175	198	
1225	245	
1275	326	
1325	424	
1375	442	
1425	518	
1475	584	
1525	556	
1575	590	
1625	623	
1675	644	
1725	622	
1775	665	
1825	680	
1875	639	
1925	665	
1975	657	
2025	656	
2075	694	
2125	714	
2175	702	
2225	702	
2275	702	
2325	727	
2375	752	
2425	754	
2475	788	
2525	700	
2575	780	
2625	749	
2675	824	
2725	841	
2775	797	
2825	822	
2875	801	
2925	814	
2975	798	
3025	831	
3075	831	
3125	851	
3175	825	
3225	804	
3275	783	
3325	861	
3375	847	
3425	910	
3475	854	
3525	887	
3575	888	
3625	896	
3675	857	
3725	893	
3775	882	
3825	878	
3875	886	
3925	895	
3975	912	
4025	891	
4075	945	
4125	898	
4175	984	
4225	929	
4275	913	
4325	946	
4375	985	
4425	905	
4475	967	
4525	924	
4575	915	
4625	921	
4675	990	
4725	996	
4775	1021	
4825	1020	
4875	970	
4925	928	
4975	998	
5025	996	
5075	1045	
5125	997	
5175	950	
5225	984	
5275	1050	
5325	989	
5375	983	
5425	1073	
5475	1005	
5525	994	
5575	967	
5625	1067	
5675	1074	
5725	1028	
5775	1069	
5825	1038	
5875	1007	
5925	1066	
5975	1019	
6025	1086	
6075	1094	
6125	1090	
6175	1031	
6225	1028	
6275	1000	
6325	1039	
6375	1048	
6425	1104	
6475	1031	
6525	1093	
6575	1057	
6625	1076	
6675	1029	
6725	1113	
6775	1068	
6825	1078	
6875	1028	
6925	1060	
6975	1090	
7025	1136	
7075	1060	
7125	1083	
7175	1115	
7225	1140	
7275	1110	
7325	1112	
7375	1083	
7425	1089	
7475	1068	
7525	1095	
7575	1077	
7625	1103	
7675	1053	
7725	1066	
7775	1076	
7825	1109	
7875	1047	
7925	1082	
7975	1038	
8025	1116	
8075	1085	
8125	1145	
8175	1076	
8225	1172	
8275	1123	
8325	1073	
8375	1055	
8425	1086	
8475	1143	
8525	1109	
8575	1065	
8625	1177	
8675	1139	
8725	1101	
8775	1130	
8825	1118	
8875	1164	
8925	1159	
8975	1063	
9025	1112	
9075	1123	
9125	1125	
9175	1120	
9225	1078	
9275	1126	
9325	1092	
9375	1061	
9425	1061	
9475	1096	
9525	1163	
9575	1101	
9625	1128	
9675	1069	
9725	1152	
9775	1019	
9825	1151	
9875	1076	
9925	1080	
9975	1090	
10025	1056	
10075	1151	
10125	1097	
10175	1082	
10225	1098	
10275	1049	
10325	1128	
10375	1159	
10425	1086	
10475	1126	
10525	1031	
10575	1095	
10625	1151	
10675	1106	
10725	1048	
10775	1058	
10825	1065	
10875	1095	
10925	1115	
10975	1101	
11025	1098	
11075	1083	
11125	1098	
11175	1042	
11225	1076	
11275	1073	
11325	1059	
11375	1135	
11425	1103	
11475	1064	
11525	1100	
11575	1116	
11625	1117	
11675	1057	
11725	1099	
11775	1099	
11825	1124	
11875	1069	
11925	1127	
11975	1078	
12025	1085	
12075	1088	
12125	1145	
12175	1053	
12225	1103	
12275	1070	
12325	1044	
12375	1102	
12425	1028	
12475	1091	
12525	1064	
12575	1057	
12625	1064	
12675	1075	
12725	1089	
12775	1091	
12825	1024	
12875	1092	
12925	1140	
12975	1071	
13025	1073	
13075	1084	
13125	1096	
13175	1039	
13225	1093	
13275	1100	
13325	1048	
13375	1094	
13425	1029	
13475	1041	
13525	1037	
13575	1050	
13625	1045	
13675	1114	
13725	1059	
13775	1054	
13825	997	
13875	1034	
13925	1070	
13975	1083	
14025	1020	
14075	1033	
14125	1041	
14175	994	
14225	998	
14275	993	
14325	1015	
14375	1038	
14425	1022	
14475	1044	
14525	1040	
14575	1010	
14625	1057	
14675	1031	
14725	1029	
14775	1046	
14825	1043	
14875	1024	
14925	1017	
14975	946	
15025	967	
15075	996	
15125	1009	
15175	1029	
15225	1063	
15275	1061	
15325	1022	
15375	1018	
15425	1022	
15475	985	
15525	1102	
15575	1016	
15625	978	
15675	992	
15725	978	
15775	1038	
15825	990	
15875	946	
15925	1008	
15975	984	
16025	989	
16075	922	
16125	960	
16175	1016	
16225	983	
16275	934	
16325	1009	
16375	987	
16425	1069	
16475	966	
16525	1006	
16575	957	
16625	993	
16675	1008	
16725	913	
16775	946	
16825	922	
16875	945	
16925	970	
16975	908	
17025	984	
17075	955	
17125	950	
17175	959	
17225	941	
17275	920	
17325	941	
17375	962	
17425	938	
17475	987	
17525	901	
17575	951	
17625	916	
17675	998	
17725	903	
17775	928	
17825	917	
17875	885	
17925	893	
17975	884	
18025	883	
18075	922	
18125	910	
18175	923	
18225	895	
18275	960	
18325	941	
18375	913	
18425	919	
18475	825	
18525	907	
18575	901	
18625	898	
18675	895	
18725	868	
18775	870	
18825	850	
18875	902	
18925	865	
18975	863	
19025	879	
19075	882	
19125	884	
19175	820	
19225	873	
19275	926	
19325	885	
19375	894	
19425	844	
19475	910	
19525	884	
19575	865	
19625	862	
19675	848	
19725	835	
19775	834	
19825	811	
19875	835	
19925	881	
19975	796	
20025	826	
20075	867	
20125	854	
20175	858	
20225	864	
20275	779	
20325	818	
20375	849	
20425	841	
20475	737	
20525	834	
20575	848	
20625	822	
20675	818	
20725	871	
20775	833	
20825	798	
20875	797	
20925	816	
20975	823	
21025	775	
21075	799	
21125	765	
21175	769	
21225	803	
21275	768	
21325	800	
21375	752	
21425	788	
21475	765	
21525	786	
21575	730	
21625	728	
21675	754	
21725	736	
21775	750	
21825	736	
21875	772	
21925	783	
21975	724	
22025	714	
22075	706	
22125	761	
22175	744	
22225	738	
22275	739	
22325	780	
22375	726	
22425	764	
22475	758	
22525	693	
22575	754	
22625	685	
22675	730	
22725	718	
22775	709	
22825	739	
22875	718	
22925	771	
22975	660	
23025	701	
23075	697	
23125	707	
23175	688	
23225	737	
23275	684	
23325	684	
23375	708	
23425	651	
23475	652	
23525	709	
23575	659	
23625	684	
23675	648	
23725	702	
23775	639	
23825	660	
23875	651	
23925	638	
23975	623	
24025	653	
24075	654	
24125	606	
24175	608	
24225	616	
24275	675	
24325	605	
24375	610	
24425	646	
24475	600	
24525	636	
24575	594	
24625	601	
24675	607	
24725	595	
24775	653	
24825	582	
24875	595	
24925	607	
24975	626	
25025	629	
25075	557	
25125	552	
25175	556	
25225	561	
25275	583	
25325	568	
25375	588	
25425	558	
25475	545	
25525	587	
25575	585	
25625	550	
25675	554	
25725	586	
25775	526	
25825	564	
25875	552	
25925	555	
25975	524	
26025	544	
26075	554	
26125	514	
26175	546	
26225	531	
26275	546	
26325	469	
26375	506	
26425	535	
26475	498	
26525	512	
26575	524	
26625	497	
26675	498	
26725	487	
26775	460	
26825	495	
26875	475	
26925	441	
26975	477	
27025	491	
27075	472	
27125	447	
27175	436	
27225	472	
27275	405	
27325	471	
27375	425	
27425	463	
27475	444	
27525	467	
27575	421	
27625	412	
27675	438	
27725	436	
27775	419	
27825	442	
27875	437	
27925	396	
27975	416	
28025	431	
28075	417	
28125	402	
28175	408	
28225	403	
28275	374	
28325	437	
28375	351	
28425	427	
28475	404	
28525	408	
28575	350	
28625	401	
28675	347	
28725	368	
28775	354	
28825	380	
28875	359	
28925	341	
28975	334	
29025	344	
29075	325	
29125	356	
29175	341	
29225	358	
29275	330	
29325	331	
29375	329	
29425	298	
29475	298	
29525	306	
29575	308	
29625	337	
29675	305	
29725	296	
29775	308	
29825	302	
29875	330	
29925	277	
29975	314	
30025	300	
30075	306	
30125	254	
30175	283	
30225	306	
30275	254	
30325	266	
30375	247	
30425	266	
30475	251	
30525	266	
30575	264	
30625	241	
30675	231	
30725	223	
30775	237	
30825	256	
30875	200	
30925	229	
30975	234	
31025	205	
31075	246	
31125	208	
31175	230	
31225	197	
31275	182	
31325	183	
31375	211	
31425	196	
31475	206	
31525	179	
31575	198	
31625	181	
31675	179	
31725	164	
31775	182	
31825	170	
31875	173	
31925	182	
31975	173	
32025	152	
32075	165	
32125	160	
32175	177	
32225	154	
32275	140	
32325	159	
32375	156	
32425	125	
32475	152	
32525	144	
32575	146	
32625	144	
32675	113	
32725	116	
32775	112	
32825	124	
32875	129	
32925	122	
32975	121	
33025	105	
33075	111	
33125	113	
33175	103	
33225	86	
33275	108	
33325	100	
33375	79	
33425	88	
33475	108	
33525	83	
33575	83	
33625	76	
33675	81	
33725	81	
33775	83	
33825	97	
33875	85	
33925	85	
33975	79	
34025	75	
34075	68	
34125	78	
34175	60	
34225	59	
34275	69	
34325	55	
34375	54	
34425	61	
34475	65	
34525	57	
34575	44	
34625	51	
34675	43	
34725	54	
34775	55	
34825	40	
34875	58	
34925	56	
34975	55	
35025	49	
35075	34	
35125	38	
35175	55	
35225	33	
35275	42	
35325	42	
35375	26	
35425	36	
35475	24	
35525	34	
35575	38	
35625	27	
35675	32	
35725	31	
35775	31	
35825	28	
35875	26	
35925	23	
35975	31	
36025	31	
36075	21	
36125	19	
36175	25	
36225	19	
36275	27	
36325	18	
36375	21	
36425	20	
36475	13	
36525	25	
36575	24	
36625	20	
36675	18	
36725	20	
36775	18	
36825	20	
36875	10	
36925	13	
36975	12	
37025	15	
37075	15	
37125	10	
37175	15	
37225	9	
37275	11	
37325	9	
37375	10	
37425	8	
37475	6	
37525	8	
37575	8	
37625	4	
37675	10	
37725	7	
37775	5	
37825	9	
37875	7	
37925	9	
37975	4	
38025	5	
38075	9	
38125	0	
38175	5	
38225	2	
38275	7	
38325	6	
38375	3	
38425	8	
38475	2	
38525	3	
38575	5	
38625	3	
38675	0	
38725	3	
38775	6	
38825	0	
38875	6	
38925	5	
38975	2	
39025	2	
39075	3	
39125	1	
39175	1	
39225	1	
39275	2	
39325	3	
39375	1	
39425	4	
39475	0	
39525	2	
39575	0	
39625	2	
39675	1	
39725	5	
39775	2	
39825	2	
39875	1	
39925	0	
39975	2	
40025	0	
40075	0	
40125	4	
40175	0	
40225	0	
40275	1	
40325	1	
40375	1	
40425	0	
40475	0	
40525	1	
40575	1	
40625	1	
40675	0	
40725	0	
40775	0	
40825	0	
40875	0	
40925	0	
40975	0	
41025	0	
41075	0	
41125	0	
41175	0	
41225	1	
41275	1	
41325	0	
41375	0	
41425	0	
41475	0	
41525	0	
41575	0	
41625	1	
41675	0	
41725	1	
41775	0	
41825	0	
41875	0	
41925	0	
41975	0	
42025	0	
42075	0	
42125	0	
42175	0	
42225	0	
42275	1	
42325	0	
42375	0	
42425	1	
42475	0	
42525	0	
42575	0	
42625	0	
42675	1	
42725	0	
42775	0	
42825	0	
42875	0	
42925	0	
42975	0	
43025	1	
43075	0	
43125	0	
43175	0	
43225	0	
43275	0	
43325	0	
43375	0	
43425	0	
43475	0	
43525	0	
43575	0	
43625	0	
43675	0	
43725	0	
43775	0	
43825	0	
43875	0	
43925	0	
43975	0	
44025	0	
44075	0	
44125	0	
44175	0	
44225	1	
44275	0	
44325	0	
44375	0	
44425	0	
44475	0	
44525	0	
44575	0	
44625	0	
44675	0	
44725	0	
44775	0	
44825	1	
44875	0	
44925	0	
44975	0	
45025	0	
45075	0	
45125	0	
45175	0	
45225	0	
45275	0	
45325	0	
45375	0	
45425	0	
45475	0	
45525	0	
45575	0	
45625	0	
45675	0	
45725	0	
45775	0	
45825	0	
45875	0	
45925	0	
45975	0	
46025	0	
46075	0	
46125	0	
46175	0	
46225	0	
46275	0	
46325	0	
46375	0	
46425	0	
46475	0	
46525	0	
46575	0	
46625	0	
46675	0	
46725	0	
46775	0	
46825	1	
46875	0	
46925	0	
46975	0	
47025	0	
47075	0	
47125	0	
47175	0	
47225	0	
47275	0	
47325	0	
47375	0	
47425	0	
47475	0	
47525	0	
47575	0	
47625	0	
47675	0	
47725	0	
47775	0	
47825	0	
47875	0	
47925	0	
47975	0	
48025	0	
48075	1	
48125	0	
48175	0	
48225	0	
48275	0	
48325	0	
48375	0	
48425	0	
48475	0	
48525	0	
48575	0	
48625	1	
48675	0	
48725	0	
48775	0	
48825	0	
48875	0	
48925	0	
48975	0	
49025	0	
49075	0	
49125	0	
49175	0	
49225	0	
49275	0	
49325	0	
49375	0	
49425	0	
49475	1	
49525	0	
49575	0	
49625	0	
49675	0	
49725	0	
49775	0	
49825	0	
49875	0	
49925	0	
49975	0	
50025	0	
50075	0	
50125	0	
50175	0	
50225	0	
50275	0	
50325	0	
50375	0	
50425	0	
50475	0	
50525	0	
50575	0	
50625	0	
50675	0	
50725	0	
50775	0	
50825	0	
50875	0	
50925	0	
50975	0	
51025	0	
51075	0	
51125	0	
51175	0	
51225	0	
51275	0	
51325	0	
51375	0	
51425	0	
51475	0	
51525	0	
51575	0	
51625	0	
51675	0	
