Time [Gate*Points] - Number of Pulses received	Number ofpulses received - Number of Pulses received	
114	14844	
115	14950	
116	14728	
117	14765	
118	14865	
119	14998	
120	14838	
121	14665	
122	14635	
123	14788	
124	14741	
125	14741	
126	14646	
127	14656	
128	14594	
129	14744	
130	15034	
131	14666	
132	14632	
133	15010	
134	14862	
135	14869	
136	14780	
137	14435	
138	14522	
139	14704	
140	14776	
141	14803	
142	14827	
143	14857	
144	15007	
145	14900	
146	14695	
147	15008	
148	14710	
149	14769	
150	14671	
151	14867	
152	14880	
153	14581	
154	14721	
155	14576	
156	14832	
157	14864	
158	14712	
159	14824	
160	14878	
161	14671	
162	14963	
163	14842	
164	14876	
165	14917	
166	14791	
167	14972	
168	14870	
169	14845	
170	14872	
171	14777	
172	14656	
173	14859	
174	14857	
175	14684	
176	14958	
177	14783	
178	14785	
179	14984	
180	14782	
181	14882	
182	15015	
183	14600	
184	14951	
185	15012	
186	14884	
187	14775	
188	14623	
189	14752	
190	14964	
191	14751	
192	14732	
193	14845	
194	14780	
195	14795	
196	14979	
197	14828	
198	14843	
199	14733	
200	14845	
201	14724	
202	15063	
203	14915	
204	14791	
205	14915	
206	14920	
207	14879	
208	15038	
209	14987	
210	14952	
211	14838	
212	14859	
213	14871	
