Time [Gate*Points] - Number of Pulses received	Number ofpulsesreceived - Number of Pulses received	
2	15738	
3	15796	
4	16047	
5	15932	
6	15720	
7	15924	
8	15904	
9	15876	
10	15786	
11	16133	
12	15797	
13	15971	
14	16016	
15	15778	
16	16095	
17	15951	
18	16023	
19	16164	
20	15947	
21	15842	
22	15908	
23	15664	
24	15819	
25	15914	
26	16015	
27	15862	
28	15952	
29	15860	
30	15711	
31	16154	
32	16038	
33	15925	
34	15895	
35	16036	
36	16072	
37	15620	
38	15985	
39	15916	
40	16074	
41	16118	
42	16011	
43	15770	
44	15895	
45	15891	
46	16058	
47	16023	
48	15799	
49	16024	
50	15963	
51	15889	
52	16124	
53	16078	
54	15908	
55	16089	
56	16057	
57	15774	
58	15864	
59	15998	
60	15938	
61	15951	
62	16262	
63	16039	
64	15887	
65	15903	
66	15804	
67	15996	
68	15979	
69	15991	
70	15767	
71	16142	
72	15944	
73	15964	
74	15924	
75	16029	
76	16118	
77	15944	
78	15916	
79	16065	
80	15958	
81	15828	
82	16002	
83	16004	
84	16018	
85	15831	
86	16153	
87	16155	
88	16099	
89	15716	
90	16180	
91	15712	
92	15842	
93	15737	
94	16063	
95	16068	
96	15854	
97	15938	
98	15899	
99	15795	
100	15769	
101	15961	
