Time [Gate*Points] - Number of Pulses received	Number ofpulses received - Number of Pulses received	
1	1827	
2	1855	
3	1800	
4	1800	
5	1833	
6	1824	
7	1880	
8	1804	
9	1850	
10	1793	
11	1792	
12	1842	
13	1895	
14	1817	
15	1859	
16	1869	
17	1822	
18	1862	
19	1835	
20	1838	
21	1892	
22	1863	
23	1874	
24	1891	
25	1953	
26	1821	
27	1916	
28	1799	
29	1849	
30	1823	
31	1870	
32	1812	
33	1834	
34	1829	
35	1834	
36	1856	
37	1804	
38	1801	
39	1836	
40	1846	
41	1822	
42	1811	
43	1822	
44	1805	
45	1824	
46	1877	
47	1837	
48	1812	
49	1815	
50	1824	
51	1855	
52	1794	
53	1850	
54	1852	
55	1842	
56	1839	
57	1785	
58	1791	
59	1820	
60	1858	
61	1817	
62	1880	
63	1822	
64	1871	
65	1832	
66	1871	
67	1838	
68	1863	
69	1914	
70	1911	
71	1774	
72	1857	
73	1813	
74	1857	
75	1840	
76	1824	
77	1805	
78	1859	
79	1849	
80	1875	
81	1790	
82	1856	
83	1824	
84	1866	
85	1841	
86	1822	
87	1804	
88	1810	
89	1840	
90	1841	
91	1820	
92	1834	
93	1845	
94	1831	
95	1912	
96	1824	
97	1851	
98	1813	
99	1846	
100	1823	
